"Nombre_PA";"Page";"IDNum";"IDKey";"numero_esclave";"code_ppv";"code_id";"centre";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers";"rmqintersite";"site_lie";"intersite";"adresse_ip";"num_secours"
0;"MH";1050;"134_PDD_MH_SOFREL";134;"72147";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Avenue Jean Jaurès";2006;"MH";;"Autonome (Pile)";"GSM";"06 75 55 05 66";"Sofrel";"Cellbox SMS";"1.10";"5:38";"PDD Eau Potable";;;;;;;
0;"MI";1051;"135_PDD_MI_SOFREL";135;"66324";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Petit Chemin des Croizettes";2006;"MI";;"Autonome (Pile)";"GSM";"06 75 55 85 03";"Sofrel";"Cellbox SMS";"1.10";"5:40";"PDD Eau Potable";;;;;;;
0;"MJ";1052;"136_PDD_MJ_SOFREL";136;"12450";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Clinique de Sorbiers";2006;"MJ";;"Autonome (Pile)";"GSM";"06 81 12 18 52";"Sofrel";"Cellbox SMS";"1.10";"5:42";"PDD Eau Potable";;;;;;;
0;"MK";1043;"137_LHL_MK_SOFREL";137;"12153";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Galmier";"Relevé de compteur";"Le Vernay";2006;"MK";"";"-----------";"GSM";"06 86 66 98 64";"Sofrel";"Cellbox SMS";"1.10";"06:19";"LHL";;;;;;;
0;"MK";1076;"138_PDD_MK_SOFREL";138;"12598";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM d Issoire";"Relevé de compteur";"Orcet Z.A. La Novialle";2007;"MK";;"Autonome (Pile)";"GSM";"06 73 07 17 37";"Sofrel";"Cellbox SMS";"2.10";"05:44";"PDD";;;;;;;
0;"ML";1045;"138_LHL_ML_SOFREL";138;"56688";"";"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"Lorette";"Relevé de compteur";"Fond Flora";2006;"ML";"";"Autonome (Pile)";"GSM";"06 88 21 84 26";"Sofrel";"Cellbox SMS";"1.10";"23:56";"Grand Croix";"";"";;;;;
0;"ML";1479;;1;"64077";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"SIREG";"Déversoir d'orage";"DVO Marie Curie";2012;"ML";"";"Autonome (Pile)";"GSM";"06 43 23 02 43";"Sofrel";"LS42";"2.20";"05:01";"PDD Assainissement";"";"";;;;;
0;"MM";1064;"140_LHL_MM_SOFREL";140;"76835";"";"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"SIAEMVG";"Relevé de compteur";"Grézieux Génilac";2013;"MM";"";"Autonome (Pile)";"GSM";"06 33 38 89 64";"Sofrel";"LS42";"2.10";"05:00";"LHL";"";"";;;;;
0;"MM";1254;"0_PDD_MM_SOFREL";0;"72067";;"Loire Auvergne";"PDD";"PDD_CA";"Autre";"PDD";;"Clermont-Ferrand";"Autre";"Magasin";2011;"MM";;"EDF";"LS";;"Sofrel";"S530";"3.50";"00:00";"PDD";;;;;;;
0;"MN";1063;"139_LHL_MN_SOFREL";139;"78605";"";"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"St Bonnet le Château";"Relevé de compteur";"Brassolard";2006;"MN";"";"Autonome (Pile)";"GSM";"06 31 05 46 01";"Sofrel";"Cellbox SMS";"2.10";"05:00";"LHL";"";"";;;;;
0;"MN";1195;"9_PDD_MN_SOFREL";9;"67519";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Station de traitement";"Regard Calais";2010;"MN";;"EDF";"RTC";"04 73 40 08 76";"Sofrel";"S530";"3.4";"05:54";"PDD";;;;;;;
0;"MO";1142;"16_PDD_MO_SOFREL";16;"12715";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Pompage réservoir";"Lassias";2009;"MO";;"EDF";"RTC";"04 73 68 31 64";"Sofrel";"S550";"3.40";"06:24";"PDD Eau Potable";;;;;;;
0;"MP";1143;"17_PDD_MP_SOFREL";17;"12605";"";"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Réservoir";"Roche Noire";2009;"MP";"";"Autonome (Pile)";"GSM";"06 43 94 05 48";"Sofrel";"LS42";"1.20";"06:00";"PDD Eau Potable";"";"";;;;;
0;"MP";1190;"110_CCANL_MP_SOFREL";110;"0";;"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Allier";;"Commune de St Eloy les Mines";"Déversoir d'orage";"Moulin Parrot";2010;"MP";;"Autonome (Pile)";"GSM";"06 68 75 97 86";"Sofrel";"LS42";"1.20";"06:12";"CCANL";;;;;;;
0;"MR";1144;"18_PDD_MR_SOFREL";18;"12718";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Réservoir";"Saint Julien";2009;"MR";;"Autonome (Pile)";"GSM";"06 45 14 57 77";"Sofrel";"LS42";"1.20";"06:02";"PDD Eau Potable";;;;;;;
