"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"intersite";"site_lie";"rmqintersite";"digicode";"divers"
0;"AA";1306;40;"22097";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"MOIRE";"SAONE TURDINE";"Réservoir";"RES CRET LA FAY - MOIRE";0;"AA";"";"EDF";"RTC";"04 74 71 78 33";"";"Sofrel";"S50";"5.47";"";"M3-P3";"";;;"";;
0;"AB";1307;64;"17246";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"LISSIEU";"SAONE TURDINE";"Réservoir";"RES PLAMBEAU - LISSIEU";0;"AB";"";"EDF";"RTC";"04 78 47 07 36";"";"Sofrel";"S50";"3.21";"";"M3-P3";"";;;"";;
0;"AB";2179;50;"7098";"0 - 0";"Centre-Rhône";"EP Mions Grand Lyon";"Eau potable";"SUD";"SAINT-PRIEST";"GRAND LYON";"Captage";"USINE_LES 4 CHENES - SAINT-PRIEST";2004;"AB";"AA";"EDF";"RTC";"04 72 23 51 98";"";"Sofrel";"S500";"";"";"";"";;;"";"";""
0;"AC";1367;65;"22098";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"CHARNAY";"SAONE TURDINE";"Réservoir";"RES CHEVRONNET - CHARNAY";0;"AC";"";"EDF";"RTC";"04 78 47 96 99";"";"Sofrel";"S50";"3.21";"";"M3-P3";"";;;"";;
0;"AE";1368;55;"6282";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"BULLY";"SAONE TURDINE";"Réservoir";"RES ECULLY - BULLY";0;"AE";"";"EDF";"RTC";"04 74 26 77 40";"";"Sofrel";"S500";"2.50";"";"M3-P3";"";;;"";;
0;"AF";1369;102;"6277";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"LENTILLY";"SAONE TURDINE";"Pompage";"SR LE POIRIER - LENTILLY";0;"AF";"";"EDF";"RTC";"04 74 01 89 74";"";"Sofrel";"S500";"2.50";"";"M4-P3";"";;;"";;
0;"AG";2180;1;"7087";"0 - 0";"Centre-Rhône";"EP Mions Grand Lyon";"Eau potable";"NORD";"CURIS-AU-MONT-D'OR";"GRAND LYON";"Captage";"USINE_LA CHARNAISE - CURIS-AU-MONT-D'OR";0;"AG";"AF";"EDF";"RTC";"04 37 92 03 26";"";"Sofrel";"S500";"";"";"";"";;;"Radio avec SR Tremblay";"";""
0;"AG";2412;;"6280";;"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"QUINCIEUX";"SAONE TURDINE";"Captage";"Puits 13 Quincieux";2013;"AG";;"Autonome (Pile)";"SMS";"06 85 46 80 30";;"Sofrel";"LS42";;;;;;;;;
0;"AL";2181;2;"7089";"0 - 0";"Centre-Rhône";"EP Mions Grand Lyon";"Eau potable";"NORD";"FLEURIEU-SUR-SAÔNE";"GRAND LYON";"Captage";"USINE_LE TOURNEYRAND - FLEURIEU-SUR-SAÔNE";0;"AL";"AK";"EDF";"RTC";"04 78 98 23 09";"";"Sofrel";"S500";"";"";"";"";;;"radio avec SR Bois Rouge";"";""
0;"B0";1371;70;"5641";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"SAINT-GEORGES-DE-RENEINS";"CENTRE BEAUJOLAIS";"Captage";"SP PORT RIVIERE - St GEORGES RENEINS";0;"B0";"";"EDF";"RTC";"04 74 67 65 01";"";"Sofrel";"S500";"";"";"M3-P3";"";;;"";"";""
